Country,Year,Maternal mortality ratio (per 100 000 live births),Births attended by skilled health personnel (%),Mortality.num,Lower_bound,Upper_bound,Income
afghanistan,2013,NA,45.2,NA,NA,NA,2000
albania,1990,71 [ 58 -  88],NA,71,58,88,2840
albania,2000,43 [ 33 -  56],NA,43,33,56,4370
albania,2008,NA,99.3,NA,NA,NA,8920
algeria,1990,216 [ 141 -  327],NA,216,141,327,6330
algeria,2000,170 [ 118 -  241],NA,170,118,241,7460
algeria,2012,NA,96.6,NA,NA,NA,12750
angola,1990,1 160 [ 627 - 2 020],NA,1160,627,2020,2190
angola,2000,924 [ 472 - 1 730],NA,924,472,1730,2190
angola,2006,NA,46.7,NA,NA,NA,4260
armenia,1990,58 [ 51 -  65],NA,58,51,65,2330
armenia,2000,40 [ 35 -  46],NA,40,35,46,2380
armenia,2010,NA,99.5,NA,NA,NA,6620
australia,1990,8 [ 7 -  9],NA,8,7,9,16820
australia,2000,9 [ 8 -  10],NA,9,8,10,25580
australia,2013,NA,99.3,NA,NA,NA,42540
austria,1990,8 [ 7 -  10],NA,8,7,10,19180
austria,2000,5 [ 4 -  6],NA,5,4,6,28450
azerbaijan,2000,48 [ 42 -  55],NA,48,42,55,3350
azerbaijan,2011,NA,97.2,NA,NA,NA,14590
bahamas,1990,46 [ 34 -  61],NA,46,34,61,17480
bahamas,2000,61 [ 50 -  74],NA,61,50,74,20020
bahrain,1990,26 [ 20 -  33],NA,26,20,33,19200
bahrain,2000,21 [ 18 -  26],NA,21,18,26,34880
bangladesh,1990,569 [ 446 -  715],NA,569,446,715,710
bangladesh,2000,399 [ 322 -  496],NA,399,322,496,1140
barbados,1990,58 [ 47 -  72],NA,58,47,72,8250
barbados,2000,48 [ 38 -  58],NA,48,38,58,11320
barbados,2012,NA,98.9,NA,NA,NA,15080
belarus,1990,33 [ 28 -  38],NA,33,28,38,5230
belarus,2000,26 [ 22 -  31],NA,26,22,31,5770
belarus,2012,NA,100.0,NA,NA,NA,16800
belgium,1990,9 [ 7 -  10],NA,9,7,10,18650
